cluster_k98,version,n_colors,n_chromatic,achromatic_set,count,n_train,n_val,n_test,mean_chroma,std_chroma,mean_saturation,std_saturation,mean_colorfulness
64,magenta|pink|red,3,3,,2,0,1,1,20.27,7.69,0.4422,0.053,42.13
64,pink|red|white,3,2,white,2,2,0,0,17.705,5.595,0.3839,0.1323,32.315
64,black|gray|red,3,1,black|gray,2,2,0,0,12.065,1.015,0.3201,0.007,33.95
64,black|brown,2,1,black,2,2,0,0,11.455,0.305,0.3637,0.0067,29.01
64,blue|red|white,3,2,white,2,1,1,0,16.67,0.82,0.3246,0.0198,33.555
64,blue|pink|red,3,3,,2,2,0,0,18.8,4.06,0.3964,0.0618,38.155
65,brown|orange|white,3,2,white,2,2,0,0,19.84,0.0,0.2866,0.0,52.56
65,blue,1,1,,2,2,0,0,35.22,5.96,0.7228,0.0695,79.875
65,black|red,2,1,black,2,0,2,0,46.07,0.14,0.6009,0.0037,118.485
65,blue|cyan|gray,3,2,gray,2,2,0,0,12.6,0.0,0.2569,0.0,50.6
65,pink|red,2,2,,2,2,0,0,55.07,1.37,0.6569,0.005,78.795
65,green|orange|red,3,3,,2,1,1,0,30.04,1.71,0.4927,0.0332,71.42
65,black|gray|red,3,1,black|gray,2,2,0,0,14.53,1.46,0.2536,0.0114,59.19
65,black|gray,2,0,black|gray,2,2,0,0,10.51,0.05,0.1945,0.0006,43.515
65,black|blue|orange,3,2,black,2,2,0,0,13.18,0.08,0.2611,0.0156,44.765
65,brown|gray,2,1,gray,2,1,1,0,15.075,2.615,0.2846,0.0494,45.635
65,gray|green|orange,3,2,gray,2,2,0,0,16.715,0.675,0.2649,0.0286,45.685
65,cyan|gray,2,1,gray,2,2,0,0,12.36,0.9,0.2341,0.0249,54.845
65,orange|white|yellow,3,2,white,2,1,1,0,30.07,6.59,0.3448,0.0829,85.625
65,gray|magenta|white,3,1,gray|white,2,2,0,0,21.405,0.735,0.2723,0.0315,73.46
65,blue|brown|orange,3,3,,2,0,2,0,25.715,3.625,0.4944,0.0654,69.015
65,gray|orange|yellow,3,2,gray,2,2,0,0,29.28,4.18,0.3679,0.0246,80.28
65,brown|gray|red,3,2,gray,2,2,0,0,20.92,10.08,0.3598,0.1375,64.775
65,blue|yellow,2,2,,2,1,1,0,53.98,10.06,0.7282,0.1394,131.42
65,white|yellow,2,1,white,2,2,0,0,16.64,1.08,0.2457,0.0029,64.675
65,pink|red|white,3,2,white,2,2,0,0,25.91,0.0,0.4105,0.0,80.64
66,black|green|red,3,2,black,2,0,0,2,27.21,0.0,0.3297,0.0,86.31
66,black|yellow,2,1,black,2,2,0,0,25.42,0.0,0.2781,0.0,62.0
66,black|brown|white,3,1,black|white,2,0,2,0,13.55,1.21,0.2465,0.0172,59.085
66,pink|white,2,1,white,2,0,0,2,38.745,3.975,0.4757,0.0372,95.93
66,black|blue,2,1,black,2,2,0,0,17.015,0.045,0.3982,0.0162,67.42
66,blue|orange|purple,3,3,,2,2,0,0,71.315,6.935,0.674,0.0635,152.31
66,blue|gray|purple,3,2,gray,2,1,1,0,17.83,1.27,0.2334,0.0071,42.965
66,cyan|gray,2,1,gray,2,2,0,0,16.05,5.82,0.3431,0.0984,59.07
66,brown|orange,2,2,,2,1,0,1,28.27,1.64,0.5072,0.0354,67.46
66,gray|magenta|white,3,1,gray|white,2,2,0,0,14.14,0.75,0.1996,0.0103,45.945
66,blue|pink|white,3,2,white,2,1,0,1,31.385,0.405,0.3311,0.0655,82.14
66,green|yellow,2,2,,2,2,0,0,38.605,2.835,0.4436,0.0174,70.63
66,cyan|green,2,2,,2,2,0,0,27.315,6.575,0.4022,0.0426,67.31
66,green|red|yellow,3,3,,2,0,0,2,18.715,4.105,0.4694,0.042,48.255
66,blue|pink|red,3,3,,2,2,0,0,48.055,4.615,0.5442,0.0743,107.44
66,gray|red|yellow,3,2,gray,2,1,0,1,38.215,7.475,0.3864,0.0691,107.9
66,gray|green|orange,3,2,gray,2,1,1,0,19.78,3.51,0.3007,0.0035,55.405
66,green|red|white,3,2,white,2,2,0,0,29.62,4.47,0.3328,0.0198,87.99
66,cyan|gray|red,3,2,gray,2,2,0,0,24.215,3.005,0.4,0.0857,90.1
66,white,1,0,white,2,2,0,0,17.46,2.84,0.2081,0.0219,68.745
66,orange|pink|red,3,3,,2,2,0,0,43.915,17.725,0.5066,0.0912,97.73
67,blue|brown|orange,3,3,,2,1,1,0,17.99,4.79,0.4259,0.0275,49.6
67,brown|red|white,3,2,white,2,1,0,1,13.535,1.275,0.3167,0.0078,36.88
